kernel,metric,unit,value,source_report,source_rev
k7,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,inst,1.068660,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k7,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,inst,1.967019,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k7,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,inst,1.555495,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k7,smsp__warpidsamp_warps_issue_stalled_barrier_not_issued,warp,21084,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k7,smsp__warpidsamp_warps_issue_stalled_long_scoreboard_not_issued,warp,68343,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k7,smsp__warpidsamp_warps_issue_stalled_short_scoreboard_not_issued,warp,35505,k7_4096x4096x4096_20260916_120440.raw.csv,a8d8537
k8,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,inst,0.389400,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
k8,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,inst,0.272568,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
k8,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,inst,3.203957,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
k8,smsp__warpidsamp_warps_issue_stalled_barrier_not_issued,warp,16340,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
k8,smsp__warpidsamp_warps_issue_stalled_long_scoreboard_not_issued,warp,26506,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
k8,smsp__warpidsamp_warps_issue_stalled_short_scoreboard_not_issued,warp,117220,k8_4096x4096x4096_20260916_120437.raw.csv,a8d8537
