kernel,metric,unit,value,source_report,source_rev
k7,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,inst,1.064114,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k7,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,inst,1.944354,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k7,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,inst,1.556913,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k7,smsp__warpidsamp_warps_issue_stalled_barrier_not_issued,warp,19649,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k7,smsp__warpidsamp_warps_issue_stalled_long_scoreboard_not_issued,warp,59632,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k7,smsp__warpidsamp_warps_issue_stalled_short_scoreboard_not_issued,warp,34533,k7_4096x4096x4096_20260916_123052.raw.csv,f37d2cb
k8,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,inst,0.240436,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
k8,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,inst,0.246519,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
k8,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,inst,1.482873,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
k8,smsp__warpidsamp_warps_issue_stalled_barrier_not_issued,warp,18031,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
k8,smsp__warpidsamp_warps_issue_stalled_long_scoreboard_not_issued,warp,29815,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
k8,smsp__warpidsamp_warps_issue_stalled_short_scoreboard_not_issued,warp,128751,k8_4096x4096x4096_20260916_123049.raw.csv,f37d2cb
