timestamp_utc,source_rev,device_tag,gpu,kernel,M,N,K,alpha,beta,check,max_rel,fro_rel,warmup_mode,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,gflops_median,gflops_best,pct_cublas,pre_sm_mhz,pre_mem_mhz,pre_temp_c,pre_power_w,pre_reasons,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_reasons,start_sample_age_s,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,pre_power_limit_w,start_power_limit_w,end_power_limit_w
2026-09-15T05:05:01Z,76e45927703e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,33.15,1650,yes,1911,8.63,100,19.217408,18.435908,19.823207,18.160641,20.407295,59,11.69,7151.794,7567.957,100.00,210,810,46,11.24,0x0000000000000001,1995,7001,64,79.81,0x0000000000000004,0.25,1980,7001,64,79.76,0x0000000000000004,2.02,939.5,0.0,0.0,0.0,,,,
2026-09-16T02:06:58Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1982,yes,2415,1.24,100,15.078240,14.992317,15.579373,14.915136,15.755264,75,5.57,9115.053,9214.730,100.00,390,6001,44,15.25,0x0000000000000001,2415,8001,75,139.91,0x0000000000000004,0.47,2400,8001,75,140.06,0x0000000000000004,1.51,0.0,0.0,0.0,0.0,,140.00,140.00,140.00
2026-09-16T02:09:29Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k1,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,31.00,26,yes,2520,0.00,100,1186.569214,1186.386536,1187.416602,1186.329590,1218.824097,77,2.74,115.829,115.852,1.27,2520,8001,58,21.37,0x0000000000000000,2520,8001,53,41.93,0x0000000000000000,0.54,2520,8001,52,40.85,0x0000000000000000,118.77,0.0,0.0,0.0,0.0,,135.68,140.00,140.00
2026-09-16T02:10:16Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k2,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.14,185,yes,2520,0.00,100,162.548737,162.521999,163.196608,162.508804,164.765701,8,1.39,845.525,845.732,9.28,2520,8001,52,45.82,0x0000000000000000,2520,8001,62,81.44,0x0000000000000000,0.86,2520,8001,61,80.31,0x0000000000000000,16.22,0.0,0.0,0.0,0.0,,140.00,140.00,140.00
2026-09-16T02:11:05Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k3,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.11,166,yes,2520,0.00,100,181.409668,180.929420,181.809009,180.912125,191.467239,85,5.82,757.616,759.700,8.31,2520,8001,61,70.81,0x0000000000000000,2520,8001,57,61.18,0x0000000000000000,0.74,2520,8001,57,60.92,0x0000000000000000,18.20,0.0,0.0,0.0,0.0,,140.00,140.00,115.00
2026-09-16T02:11:44Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k4,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.03,336,yes,2520,0.00,100,89.166801,89.158653,89.661150,89.150467,90.307327,18,1.30,1541.369,1541.652,16.91,2520,8001,57,59.26,0x0000000000000000,2520,8001,61,83.00,0x0000000000000000,0.64,2520,8001,61,82.99,0x0000000000000000,8.94,0.0,0.0,0.0,0.0,,117.40,139.74,140.00
2026-09-16T02:12:18Z,ae94fb88f873,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k5,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,885,yes,2520,0.00,100,33.828159,33.811426,34.042302,33.784832,34.493439,50,2.09,4062.856,4068.067,44.57,2520,8001,61,75.54,0x0000000000000000,2520,8001,63,80.53,0x0000000000000000,0.66,2520,8001,63,78.80,0x0000000000000000,3.38,0.0,0.0,0.0,0.0,,140.00,140.00,140.00
2026-09-16T02:35:05Z,d6cb1bdb91b2,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1963,yes,2391,1.25,100,15.194992,15.098547,15.684205,14.925824,17.414881,3,16.38,9045.016,9208.132,100.00,1890,8001,47,34.44,0x0000000000000001,2385,8001,76,139.87,0x0000000000000004,0.39,2385,8001,76,139.82,0x0000000000000000,1.52,0.0,0.0,0.0,0.0,,139.19,140.00,140.00
2026-09-16T02:35:38Z,d6cb1bdb91b2,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1942,yes,2373,1.26,100,15.252480,15.192813,15.726960,15.095776,16.060415,2,6.32,9010.925,9104.465,100.00,2520,8001,62,42.66,0x0000000000000000,2385,8001,80,139.79,0x0000000000000004,0.58,2385,8001,79,138.11,0x0000000000000004,1.53,0.0,0.0,0.0,0.0,,134.82,140.00,140.00
2026-09-16T02:36:12Z,d6cb1bdb91b2,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,31.85,2056,yes,2346,0.64,100,15.410512,15.288281,15.899546,15.188992,16.331553,35,7.41,8918.520,9048.590,100.00,2520,8001,80,44.28,0x0000000000000000,2355,8001,82,139.95,0x0000000000000004,0.25,2355,8001,82,139.24,0x0000000000000004,1.57,0.0,0.0,0.0,0.0,,136.86,140.00,139.75
