timestamp_utc,source_rev,device_tag,gpu,kernel,M,N,K,alpha,beta,check,max_rel,fro_rel,warmup_mode,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,gflops_median,gflops_best,pct_cublas,pre_sm_mhz,pre_mem_mhz,pre_temp_c,pre_power_w,pre_reasons,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_reasons,start_sample_age_s,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,pre_power_limit_w,start_power_limit_w,end_power_limit_w,kernel_desc,baseline_check
2026-09-16T14:28:53Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,512,512,512,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,455513,yes,2520,0.00,100,0.041120,0.039741,0.046080,0.038912,0.094016,25,134.01,6528.100,6898.527,100.00,210,810,48,8.55,0x0000000000000001,2520,8001,67,85.03,0x0000000000000000,0.43,2520,8001,67,85.75,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,,140.00,124.09,125.73,cuBLAS SGEMM (baseline),n/a
2026-09-16T14:29:24Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k2,512,512,512,1,0,pass,3.462e-05,4.153e-07,seconds,30.0,30.00,91180,yes,2520,0.00,100,0.295568,0.294912,0.299011,0.294752,0.319488,20,8.37,908.202,910.716,13.91,2520,8001,67,61.19,0x0000000000000000,2520,8001,65,66.89,0x0000000000000000,0.52,2520,8001,65,66.86,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,,126.70,134.80,134.40,coalesced access: threadIdx.x selects the column,n/a
2026-09-16T14:29:54Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7,512,512,512,1,0,pass,3.462e-05,4.153e-07,seconds,30.0,30.00,313026,yes,2520,0.00,100,0.067280,0.066560,0.067584,0.066560,0.072704,4,9.13,3989.826,4032.985,61.12,2520,8001,65,61.63,0x0000000000000000,2520,8001,63,56.77,0x0000000000000000,0.54,2520,8001,62,57.53,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,,134.40,131.66,131.66,warp tiling; 128x64x16 tiles; 8x4 thread tile (search winner),n/a
2026-09-16T14:30:24Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,768,768,768,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,201847,yes,2505,0.00,100,0.126976,0.115453,0.142218,0.113664,0.736256,1,490.32,7134.968,7970.595,100.00,2520,8001,62,54.58,0x0000000000000000,2505,8001,77,112.40,0x0000000000000000,0.54,2505,8001,77,111.07,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,,131.50,131.62,131.62,cuBLAS SGEMM (baseline),n/a
2026-09-16T14:30:54Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k2,768,768,768,1,0,pass,3.630e-05,5.200e-07,seconds,30.0,30.00,30050,yes,2520,0.00,100,0.957328,0.954368,0.961536,0.954368,1.230848,12,28.88,946.352,949.288,13.26,2505,8001,77,111.07,0x0000000000000000,2520,8001,69,73.11,0x0000000000000000,0.55,2520,8001,69,72.03,0x0000000000000000,0.10,0.0,0.0,0.0,0.0,,130.27,134.54,133.68,coalesced access: threadIdx.x selects the column,n/a
2026-09-16T14:31:24Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7,768,768,768,1,0,pass,3.630e-05,5.200e-07,seconds,30.0,30.00,189947,yes,2505,0.00,100,0.129008,0.127805,0.131152,0.126976,0.158464,61,24.41,7022.585,7134.968,98.42,2520,8001,69,48.71,0x0000000000000000,2505,8001,74,93.49,0x0000000000000000,0.54,2505,8001,74,93.67,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,,133.68,134.15,133.71,warp tiling; 128x64x16 tiles; 8x4 thread tile (search winner),n/a
2026-09-16T14:31:55Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,1024,1024,1024,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,101627,yes,2505,0.00,100,0.273712,0.262144,0.287802,0.258048,0.293888,28,13.09,7845.778,8322.032,100.00,2520,8001,74,70.58,0x0000000000000000,2505,8001,83,125.96,0x0000000000000004,0.46,2505,8001,83,126.39,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,,133.71,130.74,129.88,cuBLAS SGEMM (baseline),n/a
2026-09-16T14:32:25Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k2,1024,1024,1024,1,0,pass,4.899e-05,6.016e-07,seconds,30.0,30.00,12779,yes,2505,0.00,100,2.281456,2.278400,2.286656,2.278272,2.762432,23,21.22,941.278,942.593,12.00,2505,8001,83,126.39,0x0000000000000000,2505,8001,71,74.39,0x0000000000000000,0.50,2505,8001,71,59.15,0x0000000000000000,0.23,0.0,0.0,0.0,0.0,,129.88,133.11,130.33,coalesced access: threadIdx.x selects the column,n/a
2026-09-16T14:32:55Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7,1024,1024,1024,1,0,pass,4.899e-05,6.016e-07,seconds,30.0,30.00,86429,yes,2505,0.00,100,0.315392,0.314368,0.318464,0.313344,0.342016,8,9.09,6808.935,6853.438,86.78,2520,8001,71,43.12,0x0000000000000000,2505,8001,77,99.30,0x0000000000000000,0.46,2505,8001,77,99.68,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,,130.33,134.57,133.96,warp tiling; 128x64x16 tiles; 8x4 thread tile (search winner),n/a
2026-09-16T14:33:25Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,1280,1280,1280,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,56470,yes,2400,1.88,100,0.501744,0.488448,0.510954,0.483328,0.529408,64,9.18,8359.450,8677.966,100.00,2505,8001,77,62.04,0x0000000000000000,2415,8001,86,135.32,0x0000000000000020,0.50,2385,8001,85,134.46,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,,134.40,134.78,134.78,cuBLAS SGEMM (baseline),n/a
2026-09-16T14:33:56Z,4adb2029e70f,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k2,1280,1280,1280,1,0,pass,5.524e-05,6.708e-07,seconds,30.0,30.00,6667,yes,2505,0.00,100,4.434528,4.431367,4.461280,4.430816,4.901888,96,10.62,945.829,946.621,11.31,2385,8001,85,134.46,0x0000000000000000,2505,8001,73,76.07,0x0000000000000000,0.59,2505,8001,73,72.08,0x0000000000000000,0.45,0.0,0.0,0.0,0.0,,134.78,137.18,137.10,coalesced access: threadIdx.x selects the column,n/a
