timestamp_utc,source_rev,device_tag,gpu,op,impl,rows,hidden,num_warps,check,max_rel,fro_rel,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,bytes_min,eff_bandwidth_gbs,pct_bandwidth_roof,flops_per_call,tflops,pre_sm_mhz,pre_temp_c,pre_power_w,pre_power_limit_w,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_power_limit_w,start_reasons,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_power_limit_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,torch,triton,timing,submit_ms,desc
2026-09-17T21:34:58Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_math,1024,64,,pass,4.751e-04,1.943e-04,30.0,30.00,7760,yes,2520,0.00,100,3.836224,3.681168,3.894784,3.650368,4.009984,19,9.37,,,,2147483648,0.5598,1890,50,18.43,134.59,2520,8001,63,78.06,130.98,0x0000000000000000,2520,8001,63,56.24,132.73,0x0000000000000000,0.39,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; math backend (materialises the seq x seq scores)
2026-09-17T21:35:28Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_flash,1024,64,,pass,3.260e-02,2.434e-04,30.0,30.00,166564,yes,2520,0.00,100,0.151552,0.143347,0.158784,0.113664,0.191424,51,51.31,,,,2147483648,14.1699,2520,63,56.24,130.65,2520,8001,62,53.60,129.50,0x0000000000000000,2520,8001,62,55.35,130.27,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; flash backend
2026-09-17T21:35:59Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,triton,1024,64,4,pass,3.260e-02,2.433e-04,30.0,30.00,172948,yes,2520,0.00,100,0.145200,0.139264,0.152518,0.124864,0.215840,1,62.66,,,,2147483648,14.7898,2520,62,26.53,128.62,2520,8001,65,61.57,130.23,0x0000000000000000,2520,8001,65,52.22,128.86,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; one program per query block; 64x64
2026-09-17T21:36:29Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,triton,1024,64,4,pass,3.260e-02,2.433e-04,30.0,30.00,172255,yes,2520,0.00,100,0.145040,0.140042,0.152346,0.127200,0.165472,0,26.39,,,,2147483648,14.8061,2520,65,52.22,128.86,2520,8001,65,61.31,131.57,0x0000000000000000,2520,8001,63,61.92,129.71,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; one program per query block; 64x64
2026-09-17T21:36:59Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_flash,1024,64,,pass,3.260e-02,2.434e-04,30.0,30.00,164937,yes,2520,0.00,100,0.153600,0.148051,0.161648,0.131072,0.179200,59,31.33,,,,2147483648,13.9810,2520,63,54.25,129.71,2520,8001,64,52.72,129.55,0x0000000000000000,2520,8001,64,42.18,128.49,0x0000000000000000,0.02,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; flash backend
2026-09-17T21:37:30Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_math,1024,64,,pass,4.751e-04,1.943e-04,30.0,30.00,7170,yes,2520,0.00,100,4.488704,3.682202,4.891005,3.488768,6.125536,5,58.74,,,,2147483648,0.4784,2520,64,42.18,128.49,2520,8001,66,77.38,127.57,0x0000000000000000,2520,8001,66,62.45,125.61,0x0000000000000000,0.46,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; math backend (materialises the seq x seq scores)
2026-09-17T21:38:02Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_math,2048,64,,pass,4.785e-04,1.953e-04,30.0,30.01,1700,yes,2517,0.60,100,17.701376,16.879500,17.931658,16.118784,18.076672,30,11.06,,,,8589934592,0.4853,2520,66,31.17,123.93,2505,8001,66,75.78,127.21,0x0000000000000000,2505,8001,66,76.15,130.21,0x0000000000000000,1.77,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; math backend (materialises the seq x seq scores)
2026-09-17T21:38:32Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,sdpa_flash,2048,64,,pass,5.026e-02,2.460e-04,30.0,30.00,63136,yes,2505,0.00,100,0.408560,0.378058,0.426026,0.364544,0.604160,67,58.65,,,,8589934592,21.0249,2505,66,66.10,127.06,2505,8001,69,68.06,126.91,0x0000000000000000,2505,8001,69,67.97,126.91,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,scaled_dot_product_attention; flash backend
2026-09-17T21:39:02Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,triton,2048,64,4,pass,5.026e-02,2.459e-04,30.0,30.00,64801,yes,2505,0.00,100,0.397312,0.382976,0.409805,0.357376,0.436064,95,19.81,,,,8589934592,21.6201,2505,69,54.60,126.91,2505,8001,72,80.64,131.10,0x0000000000000000,2505,8001,72,80.33,129.98,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; one program per query block; 64x64
2026-09-17T21:39:33Z,4398f412a03e,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,attention,triton,2048,64,4,pass,5.026e-02,2.459e-04,30.0,30.00,65943,yes,2505,0.00,100,0.397728,0.383898,0.418614,0.366592,0.455680,27,22.40,,,,8589934592,21.5975,2505,72,64.61,128.68,2505,8001,72,80.19,125.46,0x0000000000000000,2505,8001,72,80.08,126.69,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; one program per query block; 64x64
