timestamp_utc,source_rev,device_tag,gpu,op,impl,rows,hidden,num_warps,check,max_rel,fro_rel,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,bytes_min,eff_bandwidth_gbs,pct_bandwidth_roof,pre_sm_mhz,pre_temp_c,pre_power_w,pre_power_limit_w,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_power_limit_w,start_reasons,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_power_limit_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,torch,triton,desc
2026-09-17T04:23:33Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager_composite,4096,1024,,pass,1.998e-07,4.591e-08,30.0,30.00,63462,yes,2520,0.00,100,0.408512,0.359120,0.423754,0.351232,1.187840,31,204.79,33554432,82.138,40.95,225,48,10.32,123.58,2520,8001,60,66.96,128.17,0x0000000000000000,2520,8001,60,64.62,127.80,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: t = x + b; t * sigmoid(t) (3 launches)
2026-09-17T04:24:03Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager,4096,1024,,pass,1.730e-07,3.988e-08,30.0,30.00,96531,yes,2520,0.00,100,0.226064,0.203328,0.243917,0.194560,0.879616,3,303.04,33554432,148.429,74.00,2520,60,36.76,125.87,2520,8001,62,68.99,129.62,0x0000000000000000,2520,8001,62,68.74,128.37,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: silu(x + b) (2 launches)
2026-09-17T04:24:36Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,compile,4096,1024,,pass,1.998e-07,4.744e-08,30.0,30.00,214109,yes,2520,0.00,100,0.081360,0.068608,0.109840,0.062112,0.768576,77,868.32,33554432,412.419,205.62,1275,56,24.81,118.54,2520,8001,62,60.30,127.55,0x0000000000000000,2520,8001,62,60.29,126.95,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,torch.compile of silu(x + b)
2026-09-17T04:25:06Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,triton,4096,1024,4,pass,2.246e-07,4.897e-08,30.0,30.00,285249,yes,2520,0.00,100,0.064512,0.041978,0.086387,0.034720,0.143360,24,168.40,33554432,520.127,259.33,2520,62,30.85,124.32,2520,8001,62,63.63,126.11,0x0000000000000000,2520,8001,63,62.61,126.44,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T04:25:36Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,triton,4096,1024,4,pass,2.246e-07,4.897e-08,30.0,30.00,339681,yes,2520,0.00,100,0.056320,0.047955,0.073555,0.033792,0.111584,80,138.12,33554432,595.782,297.05,2520,63,29.81,126.82,2520,8001,63,66.50,130.50,0x0000000000000000,2520,8001,64,66.37,130.50,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T04:26:06Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,compile,4096,1024,,pass,1.998e-07,4.744e-08,30.0,30.00,321029,yes,2520,0.00,100,0.070656,0.061395,0.093402,0.042784,0.123904,0,114.81,33554432,474.899,236.78,2520,64,64.74,130.50,2520,8001,64,63.56,130.83,0x0000000000000000,2520,8001,64,66.07,131.30,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,torch.compile of silu(x + b)
2026-09-17T04:26:36Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager,4096,1024,,pass,1.730e-07,3.988e-08,30.0,30.00,115637,yes,2520,0.00,100,0.220672,0.201222,0.277606,0.194560,0.295936,21,45.94,33554432,152.056,75.81,2520,64,25.38,128.56,2520,8001,64,69.07,132.96,0x0000000000000000,2520,8001,64,68.72,133.02,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: silu(x + b) (2 launches)
2026-09-17T04:27:07Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager_composite,4096,1024,,pass,1.998e-07,4.591e-08,30.0,30.00,69161,yes,2520,0.00,100,0.384512,0.359293,0.468778,0.351232,0.699040,54,90.45,33554432,87.265,43.51,2520,64,49.19,133.02,2520,8001,63,67.73,133.60,0x0000000000000000,2520,8001,63,67.17,133.23,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: t = x + b; t * sigmoid(t) (3 launches)
2026-09-17T04:27:37Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager_composite,4096,2048,,pass,2.002e-07,4.601e-08,30.0,30.00,25581,yes,2520,0.00,100,1.111360,1.035958,1.258349,1.023872,1.297408,83,24.61,67108864,60.384,30.11,2520,63,40.25,128.14,2520,8001,62,63.90,136.00,0x0000000000000000,2520,8001,62,63.39,135.03,0x0000000000000000,0.12,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: t = x + b; t * sigmoid(t) (3 launches)
2026-09-17T04:28:07Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,eager,4096,2048,,pass,1.766e-07,3.994e-08,30.0,30.00,43591,yes,2520,0.00,100,0.626688,0.601642,0.769088,0.585888,0.792480,88,32.97,67108864,107.085,53.39,2520,62,29.66,129.76,2520,8001,63,65.89,134.21,0x0000000000000000,2520,8001,63,65.47,133.92,0x0000000000000000,0.07,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,eager: silu(x + b) (2 launches)
2026-09-17T04:28:38Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,compile,4096,2048,,pass,2.069e-07,4.756e-08,30.0,30.00,75487,yes,2520,0.00,100,0.357376,0.338842,0.408765,0.321504,0.455488,33,37.49,67108864,187.782,93.62,2520,61,41.60,129.37,2520,8001,62,59.51,135.33,0x0000000000000000,2520,8001,62,59.15,134.03,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,torch.compile of silu(x + b)
2026-09-17T04:29:08Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,triton,4096,2048,4,pass,2.189e-07,4.914e-08,30.0,30.00,78518,yes,2520,0.00,100,0.341504,0.326474,0.391053,0.316000,0.428032,87,32.81,67108864,196.510,97.98,2520,62,23.82,132.51,2520,8001,61,59.25,134.69,0x0000000000000000,2520,8001,61,28.78,133.18,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T04:29:38Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,triton,4096,2048,4,pass,2.189e-07,4.914e-08,30.0,30.00,77723,yes,2520,0.00,100,0.340192,0.326214,0.397514,0.317088,0.430688,4,33.39,67108864,197.268,98.35,2520,61,29.33,129.96,2520,8001,61,58.99,135.09,0x0000000000000000,2520,8001,61,58.78,133.11,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,Triton; one program per row; num_warps=4
2026-09-17T04:30:08Z,6bf2ea21e486,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,bias_silu,compile,4096,2048,,pass,2.069e-07,4.756e-08,30.0,30.00,75543,yes,2520,0.00,100,0.356864,0.339866,0.413798,0.328480,0.443392,88,32.20,67108864,188.052,93.76,2520,61,42.08,128.69,2520,8001,62,59.62,133.66,0x0000000000000000,2520,8001,62,59.22,133.66,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,torch.compile of silu(x + b)
