timestamp_utc,source_rev,device_tag,gpu,op,impl,rows,hidden,num_warps,check,max_rel,fro_rel,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,bytes_min,eff_bandwidth_gbs,pct_bandwidth_roof,flops_per_call,tflops,pre_sm_mhz,pre_temp_c,pre_power_w,pre_power_limit_w,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_power_limit_w,start_reasons,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_power_limit_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,torch,triton,timing,submit_ms,desc
2026-09-17T20:51:20Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,eager,4096,1024,,pass,4.518e-06,1.156e-07,30.0,30.00,17223,yes,2520,0.00,100,1.641696,1.573594,1.690624,1.539072,1.906688,25,22.39,50331648,30.658,15.29,,,1890,50,18.14,119.15,2520,8001,59,63.44,127.41,0x0000000000000000,2520,8001,59,58.15,124.26,0x0000000000000000,0.17,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through the eager expression
2026-09-17T20:51:50Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,native,4096,1024,,pass,8.021e-06,2.239e-07,30.0,30.00,65434,yes,2520,0.00,100,0.410672,0.377856,0.434061,0.372736,0.465856,74,22.68,50331648,122.559,61.11,,,2520,59,22.70,121.65,2520,8001,59,55.77,126.01,0x0000000000000000,2520,8001,59,58.84,127.02,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through PyTorch's fused RMSNorm
2026-09-17T20:52:23Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,compile,4096,1024,,pass,2.439e-06,1.036e-07,30.0,30.00,59122,yes,2520,0.00,100,0.443616,0.427645,0.484256,0.415680,0.590848,7,39.49,50331648,113.458,56.57,,,630,55,14.80,118.55,2520,8001,58,52.97,124.86,0x0000000000000000,2520,8001,58,53.06,124.69,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through the compiled eager expression
2026-09-17T20:52:53Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,triton,4096,1024,4,pass,4.019e-06,1.294e-07,30.0,30.00,93962,yes,2520,0.00,100,0.270096,0.258752,0.334950,0.240640,0.349184,58,40.19,50331648,186.347,92.91,,,2520,58,39.20,125.57,2520,8001,59,54.06,122.52,0x0000000000000000,2520,8001,59,54.28,124.18,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; dx and partial dw in one kernel; num_warps=4
2026-09-17T20:53:23Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,triton,4096,1024,4,pass,4.019e-06,1.294e-07,30.0,30.00,94533,yes,2520,0.00,100,0.272080,0.255898,0.338125,0.207872,0.463424,88,93.93,50331648,184.988,92.23,,,2520,59,47.25,122.02,2520,8001,59,55.26,126.82,0x0000000000000000,2520,8001,59,53.16,124.10,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,Triton; dx and partial dw in one kernel; num_warps=4
2026-09-17T20:53:53Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,compile,4096,1024,,pass,2.439e-06,1.036e-07,30.0,30.00,60359,yes,2520,0.00,100,0.439808,0.424925,0.501248,0.397312,0.679936,27,64.26,50331648,114.440,57.06,,,2520,59,22.79,120.96,2520,8001,59,52.95,124.90,0x0000000000000000,2520,8001,59,53.75,126.97,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through the compiled eager expression
2026-09-17T20:54:23Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,native,4096,1024,,pass,8.021e-06,2.239e-07,30.0,30.00,64824,yes,2520,0.00,100,0.408944,0.379891,0.496026,0.364416,0.612352,44,60.63,50331648,123.077,61.36,,,2520,59,41.28,126.97,2520,8001,60,58.15,123.16,0x0000000000000000,2520,8001,60,58.31,122.07,0x0000000000000000,0.05,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through PyTorch's fused RMSNorm
2026-09-17T20:54:54Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,eager,4096,1024,,pass,4.518e-06,1.156e-07,30.0,30.00,16664,yes,2520,0.00,100,1.624016,1.561123,2.200941,1.505312,2.810944,57,80.40,50331648,30.992,15.45,,,2520,60,50.75,119.08,2520,8001,61,63.99,127.57,0x0000000000000000,2520,8001,61,61.32,117.23,0x0000000000000000,0.19,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through the eager expression
2026-09-17T20:55:25Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,eager,4096,2048,,pass,5.294e-06,1.196e-07,30.0,30.00,7419,yes,2520,0.00,100,3.929600,3.655818,4.111769,3.462048,4.391936,20,23.66,100663296,25.617,12.77,,,2520,59,26.23,115.00,2520,8001,61,62.02,124.17,0x0000000000000000,2520,8001,61,62.09,124.17,0x0000000000000000,0.40,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through the eager expression
2026-09-17T20:55:55Z,8bcf0ba7804d,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,rmsnorm_bwd,native,4096,2048,,pass,9.438e-06,2.114e-07,30.0,30.00,34873,yes,2520,0.00,100,0.813648,0.763686,0.849850,0.746496,0.908352,64,19.89,100663296,123.718,61.68,,,2520,61,23.73,119.84,2520,8001,61,63.50,126.30,0x0000000000000000,2520,8001,61,63.57,125.19,0x0000000000000000,0.09,0.0,0.0,0.0,0.0,triton-final,2.14.0+cu132,3.8.0,per-call,,autograd through PyTorch's fused RMSNorm
