timestamp_utc,source_rev,device_tag,gpu,op,impl,rows,hidden,num_warps,check,max_rel,fro_rel,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,bytes_min,eff_bandwidth_gbs,pct_bandwidth_roof,pre_sm_mhz,pre_temp_c,pre_power_w,pre_power_limit_w,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_power_limit_w,start_reasons,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_power_limit_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,torch,triton,timing,submit_ms,desc
2026-09-17T19:51:38Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,eager,4096,1024,,pass,2.314e-07,5.513e-08,30.0,30.00,74956,yes,2520,0.00,100,0.365454,0.365454,0.365454,0.365454,0.365454,-1,0.00,33554432,91.816,45.78,1890,54,11.27,115.00,2520,8001,64,71.86,125.11,0x0000000000000000,2520,8001,64,71.87,124.60,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.040682,eager: max; x - max; exp; sum; divide (5 launches)
2026-09-17T19:52:09Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,native,4096,1024,,pass,2.596e-07,5.672e-08,30.0,30.00,417696,yes,2505,0.00,100,0.043031,0.043031,0.043031,0.043031,0.043031,-1,0.00,33554432,779.781,388.78,2520,64,22.91,123.31,2505,8001,69,85.94,127.62,0x0000000000000000,2505,8001,69,86.79,126.22,0x0000000000000000,0.00,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.007732,torch.softmax (1 launch)
2026-09-17T19:52:41Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,compile,4096,1024,,pass,2.770e-07,6.446e-08,30.0,30.00,182327,yes,2520,0.00,100,0.060904,0.060904,0.060904,0.060904,0.060904,-1,0.00,33554432,550.941,274.69,615,60,10.66,118.31,2520,8001,62,55.55,124.44,0x0000000000000000,2520,8001,62,24.89,127.17,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.028101,torch.compile of the eager expression
2026-09-17T19:53:11Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,triton,4096,1024,4,pass,2.800e-07,6.510e-08,30.0,30.00,361972,yes,2520,0.00,100,0.039231,0.039231,0.039231,0.039231,0.039231,-1,0.00,33554432,855.302,426.44,2520,62,23.90,124.88,2520,8001,64,62.78,116.47,0x0000000000000000,2520,8001,64,64.54,116.30,0x0000000000000000,0.00,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.017544,Triton; one program per row; num_warps=4
2026-09-17T19:53:41Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,triton,4096,1024,4,pass,2.800e-07,6.510e-08,30.0,30.00,325990,yes,2520,0.00,100,0.042955,0.042955,0.042955,0.042955,0.042955,-1,0.00,33554432,781.161,389.47,2520,64,58.92,116.30,2520,8001,63,60.27,121.77,0x0000000000000000,2520,8001,63,58.90,119.54,0x0000000000000000,0.00,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.018042,Triton; one program per row; num_warps=4
2026-09-17T19:54:11Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,compile,4096,1024,,pass,2.770e-07,6.446e-08,30.0,30.00,186596,yes,2520,0.00,100,0.098349,0.098349,0.098349,0.098349,0.098349,-1,0.00,33554432,341.176,170.10,2520,63,45.07,119.54,2520,8001,62,51.55,125.30,0x0000000000000000,2520,8001,62,52.32,125.18,0x0000000000000000,0.01,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.028005,torch.compile of the eager expression
2026-09-17T19:54:41Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,native,4096,1024,,pass,2.596e-07,5.672e-08,30.0,30.00,372959,yes,2505,0.00,100,0.045031,0.045031,0.045031,0.045031,0.045031,-1,0.00,33554432,745.138,371.51,2520,62,49.67,123.18,2505,8001,67,73.97,123.87,0x0000000000000000,2505,8001,68,78.44,125.74,0x0000000000000000,0.00,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.007605,torch.softmax (1 launch)
2026-09-17T19:55:12Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,eager,4096,1024,,pass,2.314e-07,5.513e-08,30.0,30.00,75982,yes,2505,0.00,100,0.350980,0.350980,0.350980,0.350980,0.350980,-1,0.00,33554432,95.602,47.67,2505,68,24.75,126.41,2505,8001,66,73.00,124.35,0x0000000000000000,2505,8001,66,73.49,123.44,0x0000000000000000,0.04,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.040573,eager: max; x - max; exp; sum; divide (5 launches)
2026-09-17T19:55:42Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,eager,4096,2048,,pass,2.306e-07,5.529e-08,30.0,30.00,23958,yes,2520,0.00,100,1.176984,1.176984,1.176984,1.176984,1.176984,-1,0.00,67108864,57.018,28.43,2505,66,27.46,118.38,2520,8001,65,67.15,127.07,0x0000000000000000,2520,8001,65,68.98,127.49,0x0000000000000000,0.12,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.040176,eager: max; x - max; exp; sum; divide (5 launches)
2026-09-17T19:56:12Z,f33a73937672,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,softmax,native,4096,2048,,pass,2.574e-07,5.834e-08,30.0,30.00,80603,yes,2520,0.00,100,0.344588,0.344588,0.344588,0.344588,0.344588,-1,0.00,67108864,194.751,97.10,2520,65,23.64,124.03,2520,8001,64,63.78,126.43,0x0000000000000000,2520,8001,64,62.55,128.12,0x0000000000000000,0.03,0.0,0.0,0.0,0.0,pipeline,2.14.0+cu132,3.8.0,pipeline,0.012010,torch.softmax (1 launch)
