timestamp_utc,source_rev,device_tag,gpu,kernel,M,N,K,alpha,beta,check,max_rel,fro_rel,warmup_mode,warmup_s_min,warmup_s,warmup_iters,warmup_settled,warmup_sm_mean_mhz,warmup_sm_range_pct,reps,ms_median,ms_p10,ms_p90,ms_min,ms_max,ms_max_rep,spread_pct,gflops_median,gflops_best,pct_cublas,pre_sm_mhz,pre_mem_mhz,pre_temp_c,pre_power_w,pre_reasons,start_sm_mhz,start_mem_mhz,start_temp_c,start_power_w,start_reasons,start_sample_age_s,end_sm_mhz,end_mem_mhz,end_temp_c,end_power_w,end_reasons,timed_s,sw_power_cap_ms,sw_thermal_ms,hw_thermal_ms,hw_power_brake_ms,tag,pre_power_limit_w,start_power_limit_w,end_power_limit_w,kernel_desc,baseline_check
2026-09-16T13:58:21Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k0,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1973,yes,2394,0.63,100,15.169936,15.095808,15.218371,15.004640,15.692800,97,4.54,9059.956,9159.764,100.00,210,810,49,12.50,0x0000000000000001,2400,8001,80,139.86,0x0000000000000004,0.45,2385,8001,80,138.42,0x0000000000000000,1.54,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T13:58:53Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1749,yes,2448,0.61,100,17.120160,17.075120,17.202278,17.016832,17.689505,86,3.93,8027.901,8076.647,88.61,2385,8001,80,125.83,0x0000000000000000,2445,8001,82,139.63,0x0000000000000004,0.63,2460,8001,82,139.84,0x0000000000000000,1.73,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T13:59:26Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c1,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1439,yes,2505,0.00,100,20.841329,20.674644,20.972032,20.541439,21.596161,37,5.06,6594.539,6690.814,72.79,2460,8001,82,130.03,0x0000000000000000,2505,8001,76,102.69,0x0000000000000000,0.63,2505,8001,75,102.43,0x0000000000000000,2.11,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T13:59:58Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c2,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1469,yes,2505,0.00,100,20.364688,20.205370,20.506112,19.954559,21.142431,12,5.83,6748.886,6887.597,74.49,2505,8001,75,93.45,0x0000000000000000,2505,8001,75,102.57,0x0000000000000000,0.63,2505,8001,75,102.72,0x0000000000000000,2.06,0.0,0.0,0.0,0.0,,140.00,136.66,140.00,,
2026-09-16T14:00:30Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c3,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.02,1743,yes,2442,0.61,100,17.182208,17.104079,17.259450,17.068031,17.691551,74,3.63,7998.911,8052.420,88.29,2505,8001,75,30.73,0x0000000000000000,2445,8001,83,139.78,0x0000000000000004,0.47,2445,8001,83,138.53,0x0000000000000004,1.74,0.0,0.0,0.0,0.0,,134.66,140.00,140.00,,
2026-09-16T14:01:02Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c4,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1547,yes,2415,0.00,100,19.351040,19.278044,19.416446,19.164032,20.003807,1,4.34,7102.407,7171.714,78.39,2445,8001,83,120.14,0x0000000000000000,2415,8001,84,139.94,0x0000000000000004,0.57,2415,8001,84,140.01,0x0000000000000000,1.96,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T14:01:35Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c5,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.00,1340,yes,2505,0.00,100,22.354304,22.216499,22.542439,22.060896,23.059456,29,4.47,6148.210,6229.981,67.86,2505,8001,84,123.28,0x0000000000000000,2505,8001,76,98.81,0x0000000000000000,0.62,2505,8001,76,96.66,0x0000000000000000,2.26,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T14:02:07Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c6,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.02,1300,yes,2505,0.00,100,22.950384,22.749594,23.319374,22.638592,23.725985,65,4.74,5988.525,6071.003,66.10,2505,8001,76,91.27,0x0000000000000000,2505,8001,77,102.92,0x0000000000000000,0.51,2505,8001,77,100.04,0x0000000000000000,2.32,0.0,0.0,0.0,0.0,,140.00,139.21,140.00,,
2026-09-16T14:02:40Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c7,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.02,1359,yes,2505,0.00,100,22.021120,21.983130,22.057708,21.941248,22.528959,89,2.67,6241.234,6263.953,68.89,2505,8001,77,94.45,0x0000000000000000,2505,8001,75,93.57,0x0000000000000000,0.56,2505,8001,74,93.51,0x0000000000000000,2.23,0.0,0.0,0.0,0.0,,140.00,140.00,140.00,,
2026-09-16T14:03:12Z,5abf9ee877c9,rtx4060-laptop,NVIDIA GeForce RTX 4060 Laptop GPU,k7c8,4096,4096,4096,1,0,pass,0.000e+00,0.000e+00,seconds,30.0,30.01,1334,yes,2505,0.00,100,22.427504,22.397951,22.475777,22.383553,22.966272,51,2.60,6128.143,6140.176,67.64,2505,8001,74,88.18,0x0000000000000000,2505,8001,74,93.25,0x0000000000000000,0.66,2505,8001,74,93.23,0x0000000000000000,2.27,0.0,0.0,0.0,0.0,,140.00,139.94,138.43,,
